title,url,folder,markdown,raw_html,images
Vault 2026 Release Notes,https://help.autodesk.com/view/VAULT/2026/ENU/?guid=Vault_ReleaseNotes_CLC_release_notes_html,out/vault-2026-release-notes,out/vault-2026-release-notes/content.md,out/vault-2026-release-notes/raw.html,img_01.png
Workflow Enhancements (What's New in 2026.1),https://help.autodesk.com/view/VAULT/2026/ENU/?guid=WN-workflow-2026_1,out/workflow-enhancements-what-s-new-in-2026-1,out/workflow-enhancements-what-s-new-in-2026-1/content.md,out/workflow-enhancements-what-s-new-in-2026-1/raw.html,img_01.png;img_02.png;img_03.png;img_04.png;img_05.png;img_06.png
Connectivity Enhancements (What's New in 2026.1),https://help.autodesk.com/view/VAULT/2026/ENU/?guid=WN-connectivity-2026_1,out/connectivity-enhancements-what-s-new-in-2026-1,out/connectivity-enhancements-what-s-new-in-2026-1/content.md,out/connectivity-enhancements-what-s-new-in-2026-1/raw.html,img_01.png;img_02.png
Collaboration Enhancements (What's New in 2026.1),https://help.autodesk.com/view/VAULT/2026/ENU/?guid=WN-collaboration-2026_1,out/collaboration-enhancements-what-s-new-in-2026-1,out/collaboration-enhancements-what-s-new-in-2026-1/content.md,out/collaboration-enhancements-what-s-new-in-2026-1/raw.html,img_01.png;img_02.png;img_03.png
Administration Enhancements (What's New in 2026),https://help.autodesk.com/view/VAULT/2026/ENU/?guid=GUID-AC8C6A07-2A29-4026-BC9E-ECE7AD635A3500,out/administration-enhancements-what-s-new-in-2026,out/administration-enhancements-what-s-new-in-2026/content.md,out/administration-enhancements-what-s-new-in-2026/raw.html,img_01.png;img_02.png
Trash Bin (New in 2026),https://help.autodesk.com/view/VAULT/2026/ENU/?guid=GUID-9F3302FA-488B-4021-ADDE-DF0AC877298600,out/trash-bin-new-in-2026,out/trash-bin-new-in-2026/content.md,out/trash-bin-new-in-2026/raw.html,img_01.png
Job Processor Enhancements (What's New in 2026),https://help.autodesk.com/view/VAULT/2026/ENU/?guid=GUID-AC8C6A07-2A29-4026-BC9E-ECE7AD635A3501,out/job-processor-enhancements-what-s-new-in-2026,out/job-processor-enhancements-what-s-new-in-2026/content.md,out/job-processor-enhancements-what-s-new-in-2026/raw.html,img_01.png;img_02.png
